group,symbol,value,change
電子上游-連接元件,3310,3181,-0.92
傳產-汽車零組件,3311,19457,2.73
電子上游-IC-通路,3312,19294,-1.39
傳產-營建,3313,4331,1.34
電子上游-IC-設計,3317,13457,-0.22
電子上游-PCB-製造,3321,4561,-2.45
電子上游-連接元件,3322,9037,0.95
電子中游-NB與手機零組件,3323,124960,-1.79
電子中游-散熱零組件,3324,2328376,0
電子中游-機殼,3325,3083,-1.39
電子中游-電源供應器,3332,13273,1.57
電子中游-散熱零組件,3338,8468,0.31
電子上游-LED照明及光元件,3339,24025,-0.93
傳產-汽車零組件,3346,3342,1.87
電子下游-電腦周邊,3349,32717,-0.81
電子上游-PCB-製造,3354,108277,9.88
電子下游-安全監控,3356,8760,-1.17
電子上游-被動元件,3357,89961,-0.35
電子上游-IC-通路,3360,977,0
電子中游-光學鏡片,3362,41385,0
電子上游-被動元件,3363,1972491,0.24
電子上游-IC-封測,3372,169390,8.93
傳產-生技,3373,1390,-0.28
電子上游-IC-封測,3374,88085,0
電子上游-連接元件,3376,295725,0
傳產-電機,3379,7718,0.6
電子中游-網通,3380,74584,0.62
電子上游-IC-通路,3388,861,-0.16
電子上游-PCB-製造,3390,91766,7.36
電子中游-儀器設備工程,3402,37726,1.22
電子中游-光學鏡片,3406,759900,1.18
電子上游-IC-半導體設備,3413,402431,-0.7
電子下游-工業電腦,3416,28563,-0.66
電子中游-網通,3419,3789,2.34
傳產-電機,3426,0,0
傳產-化學工業,3430,14024,1.17
電子上游-連接元件,3432,85,0
電子下游-安全監控,3434,1220,-0.32
電子上游-LED照明及光元件,3437,3594,-0.35
電子上游-IC-設計,3438,35925,5.89
電子中游-光學鏡片,3441,4633,-0.26
電子上游-IP/ASIC,3443,6866084,4.44
電子上游-IC-通路,3444,196776,9.9
電子下游-資訊通路,3447,62655,-1.87
電子上游-IC-封測,3450,5875102,2.63
電子下游-安全監控,3454,28850,0.1
電子上游-PCB-材料設備,3455,21495,-0.98
電子下游-消費電子,3465,1001,3.04
電子中游-通訊設備,3466,23276,0.12
電子上游-IC-其他,3467,22390,8.34
電子下游-工業電腦,3479,15431,-0.54
電子中游-LCD-TFT面板,3481,1412305,1.89
電子中游-散熱零組件,3483,37303,-1.08
電子上游-連接元件,3484,9432,-0.21
傳產-營建,3489,1833,0.22
電子中游-儀器設備工程,3490,10040,-2.14
電子中游-通訊設備,3491,315644,-0.15
電子上游-連接元件,3492,964,-0.19
電子下游-電腦周邊,3494,6523,9.9
電子中游-儀器設備工程,3498,10183,1.55
電子中游-通訊設備,3499,43579,3.86
電子上游-連接元件,3501,2916,-0.61
電子中游-光學鏡片,3504,7000,0
電子中游-機殼,3508,2175,0.44
電子上游-連接元件,3511,2787,0.74
傳產-營建,3512,434,0
電子中游-主機板,3515,105813,1.82
電子中游-LCD-零組件,3516,196,0.26
傳產-其他,3518,1504,1.45
電子上游-連接元件,3520,3654,0.59
傳產-營建,3521,3988,-3.9
傳產-觀光,3522,4134,0.56
電子中游-LCD-零組件,3523,2123,9.86
電子上游-連接元件,3526,66046,0
電子上游-IC-設計,3527,4720,1.2
電子上游-IC-通路,3528,7547,0
電子上游-IP/ASIC,3529,475802,-0.87
電子上游-IC-設計,3530,12680,-0.28
電子上游-LED照明及光元件,3531,22,0
電子上游-晶圓材料,3532,89657,1.74
電子上游-連接元件,3533,314123,-1.15
電子中游-儀器設備工程,3535,310578,-0.22
電子上游-IC-通路,3537,235771,0.94
電子下游-電腦周邊,3540,4947,-0.49
電子下游-消費電子,3541,1658,0
電子中游-LCD-TFT面板,3543,189041,2.73
電子上游-IC-設計,3545,28304,0.2
軟體-遊戲,3546,13914,-0.13
電子上游-連接元件,3548,14805,1.11
電子中游-儀器設備工程,3550,8701,0.7
電子中游-儀器設備工程,3551,318304,2.84
傳產-汽車零組件,3552,15938,-0.47
傳產-生技,3555,15400,-1.98
電子上游-IC-設計,3556,1027,0.14
傳產-其他,3557,2304,-3.06
電子中游-網通,3558,23120,-1.52
電子中游-儀器設備工程,3563,796158,0.81
電子下游-工業電腦,3564,5677,-0.62
電子上游-IC-封測,3567,1068,-0.2
軟體-系統整合,3570,4178,-1.19
電子下游-太陽能,3576,225733,0.64
電子下游-工業電腦,3577,1988,0
電子中游-儀器設備工程,3580,14808,-0.66
電子上游-IC-封測,3581,161765,-0.14
電子上游-IC-半導體設備,3583,78556,-0.3
電子上游-IC-其他,3587,118370,1.09
電子上游-IC-設計,3588,6800,1.15
電子上游-LED照明及光元件,3591,4885,0.27
電子上游-IC-設計,3592,407724,-1.31
電子中游-機殼,3593,499,0
電子下游-工業電腦,3594,8772,-0.8
電子中游-網通,3596,61503,-0.84
電子上游-連接元件,3597,1438,-1.54
電子上游-連接元件,3605,97448,-0.83
電子中游-機殼,3607,26557,3.47
電子上游-LED照明及光元件,3609,4642,-0.97
電子下游-工業電腦,3611,4677,-0.73
電子中游-LCD-STN面板,3615,8797,-1.23
電子中游-變壓器與UPS,3617,94642,-0.95
電子中游-LCD-STN面板,3622,22287,0.79
電子中游-LCD-STN面板,3623,324,-0.91
電子上游-被動元件,3624,113860,-1.89
電子中游-NB與手機零組件,3625,9450,2.22
電子中游-變壓器與UPS,3628,18538,0.29
傳產-其他,3629,0,8.85
電子中游-光學鏡片,3630,18416,-0.89
電子上游-PCB-製造,3631,2304,-1.02
軟體-系統整合,3632,76,-1.75
電子上游-PCB-製造,3645,41489,-1.68
電子上游-連接元件,3646,2708,0
電子下游-工業電腦,3652,1817,0.18
電子中游-散熱零組件,3653,3576284,-0.36
電子上游-IP/ASIC,3661,2990719,1.1
傳產-其他,3663,166934,4.8
電子下游-安全監控,3664,7209,9.73
電子上游-連接元件,3665,2982329,-0.32
電子中游-LCD-零組件,3666,2460,-0.15
電子下游-安全監控,3669,25405,9.93
電子中游-通訊設備,3672,1250,-3.01
電子中游-LCD-STN面板,3673,70060,-0.96
電子上游-IC-製造,3675,12433,0
電子上游-連接元件,3679,3032,0.88
電子上游-IC-半導體設備,3680,421855,3.81
電子中游-通訊設備,3684,44334,9.92
傳產-電機,3685,41196,-2.24
電子下游-太陽能,3686,6857,0.27
軟體-其他,3687,8456,0.98
電子上游-連接元件,3689,1249802,3.6
電子下游-太陽能,3691,48930,1.67
電子中游-機殼,3693,118395,-0.7
電子中游-網通,3694,74525,-1.29
電子中游-EMS,3701,1668236,7.39
電子上游-IC-通路,3702,1166847,-1.21
傳產-營建,3703,8804,0
電子中游-網通,3704,41333,-0.61
傳產-生技,3705,9017,-0.18
電子中游-EMS,3706,598478,0
電子上游-晶圓材料,3707,117064,1.58
傳產-綠能環保,3708,117502,-2.97
電子下游-資訊通路,3709,124201,-1.2
電子上游-連接元件,3710,3203,3.28
電子上游-IC-封測,3711,4074468,2.56
傳產-綠能環保,3712,19227,-1.75
電子下游-太陽能,3713,1619,0.42
電子上游-IC-其他,3714,31501,-0.61
電子上游-PCB-製造,3715,4886163,3.35
傳產-生技,3716,2944,-0.3
電子上游-LED照明及光元件,3717,8668,2.37
傳產-生技,4102,2414,-1.23
傳產-生技,4104,10170,0.37
傳產-生技,4105,44647,-0.72
傳產-生技,4106,360,-0.68
傳產-生技,4107,2389,0.41
傳產-生技,4108,2167,-0.37
傳產-生技,4109,1713,0
傳產-生技,4111,2391,-0.17
傳產-營建,4113,10494,-0.79
傳產-生技,4114,17575,0.16
傳產-生技,4116,2197,-1.11
傳產-生技,4119,2209,0.1
傳產-生技,4120,814,0.69
傳產-生技,4121,3811,0.33
傳產-生技,4123,28504,0.13
傳產-生技,4126,1639,0
傳產-生技,4127,1875,-1.5
傳產-生技,4128,24828,-1.32
傳產-生技,4129,20779,0
傳產-生技,4130,13591,2.51
傳產-生技,4131,3564,0
傳產-生技,4133,412,0.66
傳產-生技,4137,7361,0.1
傳產-生技,4138,3286,-0.97
傳產-生技,4139,49,2.06
傳產-生技,4142,11446,-0.77
傳產-生技,4147,11294,0
傳產-生技,4148,659,-0.13
傳產-生技,4153,670,-0.29
傳產-其他,4154,413,0.95
傳產-生技,4155,3440,-1.69
傳產-生技,4157,33406,-1.24
傳產-生技,4160,9760,0.58
傳產-生技,4161,13281,-0.2
傳產-生技,4162,9776,-0.14
傳產-生技,4163,887,-0.77
傳產-生技,4164,9636,0.39
傳產-生技,4166,2611,-0.2
傳產-生技,4167,11799,1.16
傳產-生技,4168,32063,0.55
傳產-生技,4171,1967,0.52
傳產-生技,4173,703,0
傳產-生技,4174,14783,-2.09
傳產-生技,4175,1470,0.51
傳產-生技,4183,187,1.8
傳產-生技,4188,690,2.05
傳產-生技,4190,693,0
傳產-生技,4192,1,0
傳產-生技,4198,46,1.93
傳產-食品,4205,1206,0.25
傳產-食品,4207,6448,-1.84
傳產-塑膠,4303,48215,1.3
傳產-塑膠,4304,11038,9.93
傳產-塑膠,4305,0,0
傳產-塑膠,4306,5518,0
傳產-紡織纖維,4401,442,-2.01
傳產-紡織纖維,4402,648,-0.25
傳產-紡織纖維,4406,1837,0.21
傳產-紡織纖維,4413,86,-3.64
傳產-紡織纖維,4414,5494,-1.69
傳產-營建,4416,1089,-1.27
傳產-紡織纖維,4417,3521,0.56
傳產-觀光,4419,1279,0.51
傳產-紡織纖維,4420,1402,-0.2
傳產-紡織纖維,4426,711,0.31
傳產-其他,4430,392,-1.13
傳產-紡織纖維,4432,299,0.3
傳產-紡織纖維,4433,156,-0.23
傳產-紡織纖維,4438,2625,-0.78
傳產-紡織纖維,4439,614,0
傳產-紡織纖維,4440,1200,0
傳產-紡織纖維,4441,15722,0.63
傳產-紡織纖維,4442,2351,-0.64
傳產-汽車零組件,4502,1157,-0.32
電子下游-顯示器,4503,3533,1.11
傳產-電機,4506,8799,0
傳產-電機,4510,37788,3.45
傳產-電機,4513,3312,-0.27
傳產-汽車零組件,4523,2827,1.02
傳產-電機,4526,108269,1.83
傳產-電機,4527,2327,-1.27
傳產-汽車零組件,4528,279,-0.59
傳產-其他,4529,57,-0.52
傳產-觀光,4530,,
傳產-電機,4532,8190,
傳產-電機,4533,16013,
傳產-電機,4534,3105,
傳產-汽車零組件,4535,63,
傳產-運動休閒,4536,31140,
傳產-電機,4538,223,
傳產-電機,4540,9660,
傳產-航運,4541,17461,
電子上游-PCB-材料設備,4542,38721,
傳產-汽車零組件,4543,17541,
電子上游-連接元件,4545,31656,
傳產-電機,4549,27308,
傳產-電機,4550,238,
傳產-汽車零組件,4551,6493,
傳產-電機,4552,998,
傳產-汽車零組件,4554,384,
傳產-電機,4555,3547,
傳產-其他,4556,191,
傳產-汽車零組件,4557,30638,
傳產-其他,4558,464,
傳產-電機,4560,5913,
傳產-電機,4561,2706,
傳產-汽車零組件,4562,6165,
傳產-電機,4563,2844,
傳產-其他,4564,11054,
傳產-汽車零組件,4566,37557,
傳產-電機,4568,1490,
傳產-汽車零組件,4569,1936,
傳產-電機,4571,21135,
傳產-電機,4572,15099,
傳產-電機,4576,23210,
電子上游-PCB-材料設備,4577,226526,
傳產-電機,4580,6109,
傳產-汽車零組件,4581,465,
傳產-電機,4583,110526,
傳產-其他,4584,167,
電子下游-其他,4585,52214,
電子中游-其他,4588,1444,
傳產-電機,4609,129,
傳產-化學工業,4702,104,
傳產-化學工業,4706,89,
傳產-化學工業,4707,12671,
傳產-化學工業,4711,520,
傳產-化學工業,4714,15000,
傳產-化學工業,4716,8697,
傳產-化學工業,4720,4159,
傳產-化學工業,4721,73672,
傳產-化學工業,4722,634930,
傳產-生技,4726,7143,
傳產-生技,4728,1708,
電子中游-其他,4729,40459,
傳產-生技,4735,219,
傳產-生技,4736,9464,
傳產-生技,4737,11948,
傳產-化學工業,4739,64009,
傳產-化學工業,4741,1087,
傳產-生技,4743,71668,
傳產-生技,4744,10247,
傳產-生技,4745,11797,
傳產-生技,4746,20477,
傳產-生技,4747,683,
電子中游-LCD-TFT面板,4749,404570,
傳產-化學工業,4754,1265,
傳產-化學工業,4755,8114,
電子上游-被動元件,4760,77528,
傳產-化學工業,4763,355675,
傳產-化學工業,4764,264838,
傳產-化學工業,4766,123135,
傳產-化學工業,4767,192,
傳產-化學工業,4768,565149,
電子上游-PCB-材料設備,4770,40599,
傳產-生技,4771,4370,
傳產-化學工業,4772,273086,
傳產-觀光,4804,456,
傳產-文創娛樂,4806,112,
傳產-百貨,4807,485,
傳產-電線電纜,4903,240799,
電子下游-電信服務,4904,467498,
電子中游-通訊設備,4905,6,
電子中游-網通,4906,55103,
傳產-營建,4907,11811,
電子中游-通訊設備,4908,30493,
電子上游-PCB-製造,4909,531651,
傳產-生技,4911,712,
電子上游-連接元件,4912,10012,
電子下游-電腦周邊,4915,207355,
電子下游-工業電腦,4916,315545,
電子上游-IC-設計,4919,66883,
電子上游-被動元件,4923,903,
電子中游-NB與手機零組件,4924,579,
電子上游-PCB-製造,4927,734578,
電子下游-消費電子,4930,741,
電子下游-其他,4931,173434,
電子中游-LCD-零組件,4933,5307,
電子下游-太陽能,4934,10120,
電子中游-LCD-零組件,4935,1562,
電子中游-EMS,4938,788650,
電子上游-PCB-製造,4939,224224,
電子中游-其他,4942,5748,
電子中游-聲學元件,4943,144,
軟體-遊戲,4946,8771,
電子下游-太陽能,4949,25081,
傳產-鋼鐵,4950,109,
電子上游-IC-設計,4951,6561,
電子上游-IC-設計,4952,5397,
軟體-系統整合,4953,33311,
電子上游-LED照明及光元件,4956,31824,
電子上游-PCB-製造,4958,1575652,
電子中游-LCD-零組件,4960,7361,
電子上游-IC-設計,4961,179276,
電子上游-IC-設計,4966,318702,
電子上游-記憶體銷售,4967,2645297,
電子上游-IC-設計,4968,51135,
電子上游-晶圓材料,4971,428497,
傳產-照明,4972,217,
電子上游-IC-設計,4973,93821,
電子下游-掃描器,4974,3729,
電子下游-安全監控,4976,30063,
電子中游-網通,4977,1522473,
電子中游-通訊設備,4979,9565147,
電子下游-工業電腦,4987,287,
電子上游-被動元件,4989,2894986,
電子上游-IC-代工,4991,2686343,
軟體-遊戲,4994,1182,
電子中游-LCD-TFT面板,4995,209,
電子上游-連接元件,4999,1003,
傳產-鋼鐵,5007,1771,
傳產-鋼鐵,5009,63315,
傳產-鋼鐵,5011,1047,
傳產-鋼鐵,5013,0,
傳產-鋼鐵,5014,1707,
傳產-鋼鐵,5015,217,
傳產-鋼鐵,5016,127,
軟體-系統整合,5201,13661,
軟體-其他,5202,1813,
軟體-系統整合,5203,13743,
傳產-其他,5205,0,
傳產-營建,5206,4166,
軟體-系統整合,5209,8162,
軟體-系統整合,5210,2830,
軟體-其他,5211,895,
軟體-系統整合,5212,1581,
傳產-營建,5213,13175,
電子中游-NB與手機零組件,5215,2432,
電子中游-LCD-STN面板,5220,225,
電子上游-IC-代工,5222,37565,
電子中游-NB與手機零組件,5223,351,
電子下游-消費電子,5225,12967,
電子中游-二次電池,5227,1042,
電子上游-被動元件,5228,892,
電子上游-LED照明及光元件,5230,2191,
電子上游-PCB-材料設備,5234,87139,
電子上游-IC-設計,5236,8184,
電子中游-其他,5243,159417,
電子上游-LED照明及光元件,5244,5101,
電子中游-LCD-TFT面板,5245,405,
電子下游-安全監控,5251,12711,
電子下游-商業自動化,5258,19638,
軟體-其他,5263,12083,
電子上游-IC-設計,5269,623259,
電子上游-IC-設計,5272,1774,
電子上游-IC-設計,5274,1297766,
傳產-汽車零組件,5276,294,
軟體-其他,5278,8190,
傳產-電機,5283,7576,
傳產-其他,5284,190583,
電子上游-IC-導線架,5285,6185,
軟體-其他,5287,5423,
傳產-汽車零組件,5288,7478,
電子上游-記憶體銷售,5289,1893316,
電子上游-PCB-製造,5291,1396,
傳產-其他,5292,52130,
電子上游-IC-代工,5299,1073,
傳產-觀光,5301,3,
電子上游-IC-設計,5302,1497,
傳產-自行車,5306,5580,
電子中游-變壓器與UPS,5309,640445,
軟體-系統整合,5310,57,
傳產-生技,5312,4673,
傳產-其他,5314,497375,
電子中游-LCD-STN面板,5315,7211,
軟體-其他,5321,2309,
傳產-營建,5324,1066,
電子中游-電源供應器,5328,79011,
電子上游-PCB-材料設備,5340,793477,
電子上游-IC-封測,5344,746,
電子中游-其他,5345,993,
電子上游-IC-代工,5347,865525,
傳產-運動休閒,5348,157,
電子上游-記憶體IC設計,5351,988582,
電子中游-網通,5353,8120,
電子上游-PCB-製造,5355,174,
電子下游-電腦周邊,5356,1051,
傳產-觀光,5364,204,
電子中游-LCD-零組件,5371,433980,
電子上游-PCB-材料設備,5381,33680,
電子中游-主機板,5386,173801,
電子中游-網通,5388,154486,
電子中游-機殼,5392,107758,
傳產-生技,5398,7420,
軟體-系統整合,5403,8921,
電子下游-資訊通路,5410,4156,
電子下游-掃描器,5425,50338,
電子中游-機殼,5426,10238,
電子下游-太陽能,5432,62612,
電子上游-半導體元件,5434,188628,
電子下游-電腦周邊,5438,33429,
電子上游-PCB-製造,5439,964491,
電子上游-IC-半導體設備,5443,58416,
傳產-其他,5450,19105,
傳產-塑膠,5452,9794,
傳產-營建,5455,31,
電子上游-連接元件,5457,9944,
電子上游-連接元件,5460,25568,
電子上游-PCB-製造,5464,2566,
電子中游-機殼,5465,6231,
電子上游-IC-設計,5468,1348,
電子上游-PCB-製造,5469,351272,
電子上游-IC-設計,5471,3709,
電子中游-PC介面卡,5474,14746,
電子上游-PCB-材料設備,5475,166674,
軟體-遊戲,5478,5130,
傳產-其他,5481,6289,
電子下游-太陽能,5483,267447,
電子下游-安全監控,5484,6997,
電子上游-IC-設計,5487,1514,
電子上游-連接元件,5488,690,
電子下游-安全監控,5489,810,
電子下游-商業自動化,5490,6170,
電子中游-儀器設備工程,5493,12773,
電子上游-PCB-材料設備,5498,2584231,
傳產-營建,5508,422944,
傳產-營建,5511,5450,
傳產-營建,5512,5972,
傳產-營建,5514,4231,
傳產-營建,5515,22911,
傳產-營建,5516,652,
傳產-營建,5519,31163,
傳產-營建,5520,181,
傳產-營建,5521,161732,
傳產-營建,5522,285355,
傳產-營建,5523,0,
傳產-營建,5525,2207,
傳產-營建,5529,3496,
傳產-其他,5530,10770,
傳產-營建,5531,2265,
傳產-營建,5533,4418,
傳產-營建,5534,74451,
電子中游-儀器設備工程,5536,2452955,
傳產-鋼鐵,5538,891,
傳產-鋼鐵,5543,144,
傳產-營建,5546,541,
傳產-營建,5548,458,
傳產-航運,5601,1,
傳產-航運,5603,589,
傳產-其他,5604,126,
傳產-航運,5607,7972,
傳產-航運,5608,18827,
傳產-航運,5609,6065,
傳產-觀光,5701,91,
傳產-觀光,5703,16,
傳產-觀光,5704,384,
傳產-觀光,5706,2829,
金融-證券,5864,7174,
傳產-其他,5871,1375868,
金融-銀行,5876,121977,
金融-保險,5878,46,
金融-金控,5880,141206,
傳產-百貨,5902,369,
傳產-百貨,5903,4582,
傳產-百貨,5904,26333,
傳產-觀光,5905,10715,
傳產-百貨,5906,0,
傳產-百貨,5907,100869,
金融-證券,6005,319606,
金融-證券,6015,5843,
金融-證券,6016,12408,
金融-證券,6020,133,
金融-證券,6021,503,
金融-證券,6023,5951,
金融-證券,6024,10386,
金融-證券,6026,42554,
傳產-文創娛樂,6101,5888,
電子上游-IC-設計,6103,11,
電子上游-IC-設計,6104,83796,
電子上游-PCB-製造,6108,4591,
電子中游-電源供應器,6109,1201,
軟體-遊戲,6111,14377,
軟體-系統整合,6112,11678,
電子上游-IC-通路,6113,2850,
電子上游-PCB-製造,6114,566,
電子上游-連接元件,6115,2066,
電子中游-LCD-TFT面板,6116,46122,
電子中游-機殼,6117,30478,
電子下游-資訊通路,6118,10653,
電子中游-LCD-零組件,6120,21461,
電子中游-二次電池,6121,327776,
電子中游-儀器設備工程,6122,25720,
軟體-系統整合,6123,1504,
電子中游-散熱零組件,6124,221,
電子中游-儀器設備工程,6125,205765,
電子上游-連接元件,6126,17633,
電子上游-被動元件,6127,383541,
電子下游-電腦周邊,6128,1110,
電子上游-IC-設計,6129,2709,
傳產-生技,6130,31203,
電子上游-連接元件,6133,51599,
電子上游-連接元件,6134,53714,
電子下游-資訊通路,6136,3787,
電子上游-IC-設計,6138,20787,
電子中游-儀器設備工程,6139,3776890,
軟體-系統整合,6140,4225,
電子上游-PCB-製造,6141,2690,
電子中游-網通,6142,3702,
電子下游-資訊通路,6143,45107,
電子下游-消費電子,6144,234,
電子上游-IC-其他,6146,46560,
電子上游-IC-封測,6147,163810,
軟體-系統整合,6148,13479,
電子中游-PC介面卡,6150,8460,
傳產-塑膠,6151,2586,
電子中游-通訊設備,6152,19787,
電子上游-PCB-製造,6153,37018,
電子下游-資訊通路,6154,263,
電子上游-被動元件,6155,131528,
電子上游-PCB-製造,6156,12068,
電子上游-連接元件,6158,911,
電子下游-商業自動化,6160,2157,
電子下游-工業電腦,6161,3034,
軟體-系統整合,6163,906283,
電子上游-LED照明及光元件,6164,20195,
軟體-其他,6165,19471,
電子下游-工業電腦,6166,16011,
電子中游-LCD-STN面板,6167,2469,
電子上游-LED照明及光元件,6168,11773,
軟體-遊戲,6169,194,
電子下游-資訊通路,6170,6955,
傳產-營建,6171,449,
電子上游-被動元件,6173,268107,
電子上游-被動元件,6174,417,
電子上游-被動元件,6175,111828,
電子中游-LCD-零組件,6176,520446,
傳產-營建,6177,175122,
傳產-其他,6179,20211,
軟體-遊戲,6180,9235,
電子上游-晶圓材料,6182,234030,
軟體-其他,6183,2435,
電子中游-通訊設備,6184,1829,
電子上游-連接元件,6185,5052,
傳產-營建,6186,19179,
電子上游-IC-半導體設備,6187,215627,
電子下游-電腦周邊,6188,273615,
電子上游-IC-通路,6189,27151,
傳產-電線電纜,6190,136541,
電子上游-PCB-製造,6191,392851,
電子上游-PCB-材料設備,6192,10625,
電子上游-PCB-製造,6194,2586,
傳產-百貨,6195,933,
電子中游-儀器設備工程,6196,635448,
電子上游-連接元件,6197,138092,
傳產-營建,6198,56,
傳產-其他,6199,35642,
電子下游-消費電子,6201,119,
電子上游-IC-設計,6202,17858,
電子中游-電源供應器,6203,13592,
電子上游-被動元件,6204,45239,
電子上游-連接元件,6205,19351,
電子下游-商業自動化,6206,133180,
電子中游-儀器設備工程,6207,9858,
電子上游-半導體元件,6208,3411,
電子中游-光學鏡片,6209,926559,
電子上游-PCB-製造,6210,141,
傳產-營建,6212,423,
電子上游-PCB-材料設備,6213,595693,
軟體-系統整合,6214,106252,
電子中游-儀器設備工程,6215,49055,
電子中游-網通,6216,1927,
電子上游-PCB-材料設備,6217,399424,
軟體-系統整合,6218,58955,
傳產-營建,6219,6547,
電子上游-連接元件,6220,3597,
軟體-系統整合,6221,3576,
電子上游-LED照明及光元件,6222,1038,
電子上游-IC-封測,6223,5347391,
電子上游-被動元件,6224,3522,
電子下游-數位相機,6225,199,
電子上游-LED照明及光元件,6226,1388,
電子上游-IC-通路,6227,8898,
電子下游-掃描器,6228,587,
電子上游-IC-設計,6229,833,
電子中游-散熱零組件,6230,2244,
電子上游-IC-其他,6231,63471,
電子上游-IC-設計,6233,4127,
電子上游-PCB-材料設備,6234,108973,
電子中游-機殼,6235,119988,
傳產-生技,6236,26,
電子上游-IC-設計,6237,7591,
電子上游-IC-封測,6239,5860745,
軟體-系統整合,6240,80,
電子中游-網通,6241,4120,
傳產-生技,6242,208,
電子上游-IC-設計,6243,40366,
電子下游-太陽能,6244,524487,
電子中游-網通,6245,34154,
電子上游-LED照明及光元件,6246,319,
傳產-鋼鐵,6248,896,
電子上游-IC-封測,6257,3176018,
電子上游-IC-通路,6259,14885,
電子上游-IC-封測,6261,19435,
電子中游-網通,6263,3566,
傳產-營建,6264,419,
電子上游-IC-通路,6265,210626,
電子上游-PCB-材料設備,6266,24080,
電子上游-PCB-製造,6269,203956,
電子上游-IC-通路,6270,1146,
電子上游-IC-封測,6271,518081,
電子上游-連接元件,6272,97438,
電子上游-PCB-材料設備,6274,4372039,
電子中游-散熱零組件,6275,58217,
電子中游-機殼,6276,2528,
電子下游-其他,6277,2594,
電子上游-PCB-製造,6278,178603,
傳產-汽車零組件,6279,49922,
電子下游-資訊通路,6281,3648,
電子中游-電源供應器,6282,414830,
電子中游-NB與手機零組件,6283,3615,
電子上游-被動元件,6284,122567,
電子中游-網通,6285,219518,
電子上游-連接元件,6290,632346,
電子上游-IC-設計,6291,322887,
電子上游-被動元件,6292,1021,
傳產-文創娛樂,6294,610,
電子中游-LCD-零組件,6405,36809,
電子中游-變壓器與UPS,6409,499606,
電子上游-IC-設計,6411,18494,
電子中游-電源供應器,6412,155621,
電子下游-工業電腦,6414,307079,
電子上游-IC-設計,6415,172959,
電子中游-網通,6416,14263,
電子上游-被動元件,6417,1831,
電子上游-連接元件,6418,14333,
電子下游-安全監控,6419,92651,
電子上游-IP/ASIC,6423,10707,
電子上游-IC-其他,6425,110836,
電子中游-通訊設備,6426,431613,
電子中游-光學鏡片,6431,62072,
電子上游-被動元件,6432,13807,
電子上游-IC-設計,6435,21870,
電子中游-儀器設備工程,6438,45303,
電子下游-工業電腦,6441,624,
電子中游-通訊設備,6442,4176772,
電子下游-太陽能,6443,643325,
傳產-生技,6446,413244,
電子上游-被動元件,6449,49499,
電子上游-IC-封測,6451,221134,
電子中游-LCD-STN面板,6456,40975,
傳產-生技,6461,16296,
電子上游-IC-設計,6462,108975,
傳產-其他,6464,0,
電子中游-通訊設備,6465,6882,
傳產-生技,6469,18751,
電子中游-網通,6470,5463,
傳產-生技,6472,367206,
電子上游-IC-通路,6474,394,
電子下游-太陽能,6477,48338,
軟體-遊戲,6482,233,
電子上游-IC-設計,6485,216563,
電子中游-網通,6486,24263,
電子上游-晶圓材料,6488,1206917,
傳產-生技,6491,31767,
傳產-生技,6492,4090,
電子上游-IC-設計,6494,953,
傳產-生技,6496,186,
電子中游-光學鏡片,6498,2231,
傳產-生技,6499,117602,
傳產-生技,6504,599,
傳產-塑膠,6505,64139,
傳產-紡織纖維,6506,358,
傳產-生技,6508,327,
傳產-化學工業,6509,11658,
電子上游-IC-封測,6510,3681078,
電子下游-其他,6512,250,
電子上游-IC-封測,6515,3897495,
軟體-系統整合,6516,1409,
電子中游-光學鏡片,6517,103221,
傳產-生技,6523,4859,
電子上游-IC-封測,6525,8171,
電子上游-IC-設計,6526,97087,
傳產-生技,6527,1467,
電子中游-通訊設備,6530,48204,
電子上游-記憶體IC設計,6531,3046899,
電子上游-IC-半導體設備,6532,2724,
電子上游-IP/ASIC,6533,101765,
傳產-生技,6534,8210,
傳產-生技,6535,30254,
電子中游-其他,6538,4018,
傳產-生技,6541,42594,
軟體-遊戲,6542,412,
電子中游-網通,6546,8432,
傳產-生技,6547,41234,
電子上游-IC-導線架,6548,126226,
傳產-生技,6550,14908,
電子上游-IC-封測,6552,1060,
電子下游-安全監控,6556,438,
電子中游-其他,6558,24175,
電子下游-安全監控,6560,35458,
電子中游-網通,6561,71009,
電子上游-IC-設計,6568,130353,
傳產-生技,6569,4171,
電子下游-工業電腦,6570,1110,
電子上游-IC-製造,6573,3381,
傳產-生技,6574,370,
傳產-生技,6576,40141,
電子下游-顯示器,6577,1042,
傳產-其他,6578,2115,
電子下游-工業電腦,6579,4805,
傳產-綠能環保,6581,848,
傳產-橡膠,6582,679,
電子中游-金屬製品,6584,270983,
傳產-塑膠,6585,7694,
電子中游-通訊設備,6588,67266,
傳產-生技,6589,23449,
軟體-系統整合,6590,131,
電子中游-散熱零組件,6591,16862,
傳產-其他,6592,12656,
軟體-系統整合,6593,2898,
傳產-文創娛樂,6596,29738,
電子上游-LED照明及光元件,6597,0,
傳產-生技,6598,2003,
傳產-電機,6603,96365,
傳產-汽車零組件,6605,154148,
傳產-電機,6606,458,
傳產-電機,6609,3541,
傳產-生技,6612,540,
電子中游-儀器設備工程,6613,60603,
軟體-系統整合,6614,3823,
傳產-生技,6615,130,
傳產-其他,6616,822,
傳產-生技,6617,10071,
傳產-生技,6620,88517,
傳產-綠能環保,6624,34831,
